timestamp,date,open,high,low,close,volume,open_interest
1768539600,2026-01-16,,,,,0,0
1768626000,2026-01-17,,,,,0,0
1768712400,2026-01-18,,,,,0,0
1768798800,2026-01-19,19,19,19,19,12,12
1768885200,2026-01-20,,,,,0,12
1768971600,2026-01-21,,,,,0,12
1769058000,2026-01-22,22,91,20,20,107,97
1769144400,2026-01-23,,,,,0,97
1769230800,2026-01-24,19,19,19,19,66,120
1769317200,2026-01-25,,,,,0,120
1769403600,2026-01-26,19,20,19,20,48,148
1769490000,2026-01-27,20,20,20,20,15,148
1769576400,2026-01-28,20,20,20,20,104,171
1769662800,2026-01-29,20,20,20,20,426,597
1769749200,2026-01-30,22,22,22,22,431,1028
1769835600,2026-01-31,,,,,0,1028
1769922000,2026-02-01,,,,,0,1028
1770008400,2026-02-02,25,26,25,26,344,1372
1770094800,2026-02-03,,,,,0,1372
1770181200,2026-02-04,,,,,0,1372
1770267600,2026-02-05,,,,,0,1372
