timestamp,date,open,high,low,close,volume,open_interest
1765688400,2025-12-14,84,84,80,80,273,273
1765774800,2025-12-15,76,82,73,74,127,397
1765861200,2025-12-16,74,75,74,75,102,424
1765947600,2025-12-17,75,82,75,77,93,423
1766034000,2025-12-18,83,83,76,80,249,464
1766120400,2025-12-19,76,76,76,76,22,486
1766206800,2025-12-20,80,80,80,80,24,510
1766293200,2025-12-21,76,76,75,75,82,589
1766379600,2025-12-22,75,84,74,82,420,679
1766466000,2025-12-23,75,75,75,75,1,679
1766552400,2025-12-24,,,,,0,679
1766638800,2025-12-25,,,,,0,679
1766725200,2025-12-26,75,75,75,75,31,679
1766811600,2025-12-27,,,,,0,679
1766898000,2025-12-28,,,,,0,679
1766984400,2025-12-29,74,74,74,74,6,685
1767070800,2025-12-30,73,73,61,61,332,1012
1767157200,2025-12-31,69,69,69,69,3,1009
1767243600,2026-01-01,,,,,0,1009
1767330000,2026-01-02,69,71,69,71,86,925
1767416400,2026-01-03,70,70,70,70,43,925
1767502800,2026-01-04,65,65,65,65,7,930
1767589200,2026-01-05,64,64,61,61,460,1037
1767675600,2026-01-06,,,,,0,1037
1767762000,2026-01-07,56,56,56,56,5,1037
1767848400,2026-01-08,55,64,55,57,73,1058
1767934800,2026-01-09,57,57,56,56,230,1098
1768021200,2026-01-10,61,62,61,62,7,1099
1768107600,2026-01-11,62,62,54,54,58,1101
1768194000,2026-01-12,54,54,54,54,2,1103
1768280400,2026-01-13,61,62,61,62,38,1103
1768366800,2026-01-14,,,,,0,1103
1768453200,2026-01-15,,,,,0,1103
1768539600,2026-01-16,,,,,0,1103
1768626000,2026-01-17,,,,,0,1103
1768712400,2026-01-18,,,,,0,1103
1768798800,2026-01-19,60,60,56,56,38,1107
1768885200,2026-01-20,56,56,56,56,4,1107
1768971600,2026-01-21,,,,,0,1107
1769058000,2026-01-22,,,,,0,1107
1769144400,2026-01-23,61,61,61,61,2,1107
1769230800,2026-01-24,61,61,61,61,1,1108
1769317200,2026-01-25,55,55,55,55,213,1108
1769403600,2026-01-26,,,,,0,1108
1769490000,2026-01-27,,,,,0,1108
1769576400,2026-01-28,,,,,0,1108
1769662800,2026-01-29,,,,,0,1108
1769749200,2026-01-30,,,,,0,1108
1769835600,2026-01-31,,,,,0,1108
1769922000,2026-02-01,55,55,55,55,1,1108
1770008400,2026-02-02,61,61,61,61,1,1108
1770094800,2026-02-03,,,,,0,1108
1770181200,2026-02-04,55,62,54,54,192,1204
1770267600,2026-02-05,,,,,0,1204
