timestamp,date,open,high,low,close,volume,open_interest
1738818000,2025-02-06,60,61,51,52,3535,90423
1738904400,2025-02-07,51,56,50,50,582,90207
1738990800,2025-02-08,51,62,50,54,4678,89896
1739077200,2025-02-09,58,59,56,56,81,89951
1739163600,2025-02-10,56,65,56,64,10042,84556
1739250000,2025-02-11,65,65,59,64,903,84373
1739336400,2025-02-12,64,64,60,63,1055,83946
1739422800,2025-02-13,62,62,60,61,81,83967
1739509200,2025-02-14,63,67,59,61,8823,83780
1739595600,2025-02-15,61,62,60,60,31,83759
1739682000,2025-02-16,59,59,58,58,30,83741
1739768400,2025-02-17,58,58,58,58,10,83731
1739854800,2025-02-18,62,62,59,60,82,83649
1739941200,2025-02-19,62,62,60,61,128,83575
1740027600,2025-02-20,61,64,61,61,169,83433
1740114000,2025-02-21,61,61,60,60,80,83353
1740200400,2025-02-22,60,60,59,59,91,83262
1740286800,2025-02-23,62,64,58,58,4843,83561
1740373200,2025-02-24,63,63,63,63,66,83561
1740459600,2025-02-25,59,63,59,60,367,83295
1740546000,2025-02-26,63,63,59,59,524,83086
1740632400,2025-02-27,62,62,59,59,11,83076
1740718800,2025-02-28,59,67,59,66,2936,83323
1740805200,2025-03-01,66,66,64,65,458,83663
1740891600,2025-03-02,65,66,65,66,152,83733
1740978000,2025-03-03,67,67,66,67,3828,82375
1741064400,2025-03-04,67,77,67,74,7701,84717
1741150800,2025-03-05,76,76,54,60,9863,88565
1741237200,2025-03-06,63,71,61,63,8548,92130
1741323600,2025-03-07,63,68,57,63,11932,99177
1741410000,2025-03-08,63,63,60,60,466,99602
1741496400,2025-03-09,60,62,60,62,70,99601
1741582800,2025-03-10,59,59,58,58,423,99578
1741665600,2025-03-11,62,63,62,63,63,99638
1741752000,2025-03-12,59,62,59,60,283,99555
1741838400,2025-03-13,63,63,61,61,2272,98893
1741924800,2025-03-14,63,63,61,63,79,98895
1742011200,2025-03-15,62,64,62,62,2972,96353
1742097600,2025-03-16,64,64,64,64,5,96353
1742184000,2025-03-17,62,64,62,62,248,96463
1742270400,2025-03-18,65,66,62,66,6553,95774
1742356800,2025-03-19,64,67,64,64,728,96294
1742443200,2025-03-20,64,65,64,65,1249,96394
1742529600,2025-03-21,66,66,65,66,730,96512
1742616000,2025-03-22,66,66,66,66,221,96733
1742702400,2025-03-23,66,66,65,65,3015,99587
1742788800,2025-03-24,64,64,64,64,2089,101580
1742875200,2025-03-25,64,64,62,62,6968,107295
1742961600,2025-03-26,62,63,61,62,15496,121591
1743048000,2025-03-27,62,62,61,62,513,121598
