timestamp,date,open,high,low,close,volume,open_interest
1754798400,2025-08-10,,,,,0,1123
1754884800,2025-08-11,,,,,0,1123
1754971200,2025-08-12,,,,,0,1123
1755057600,2025-08-13,,,,,0,1123
1755144000,2025-08-14,,,,,0,1123
1755230400,2025-08-15,,,,,0,1123
1755316800,2025-08-16,,,,,0,1123
1755403200,2025-08-17,,,,,0,1123
1755489600,2025-08-18,,,,,0,1123
1755576000,2025-08-19,,,,,0,1123
1755662400,2025-08-20,,,,,0,1123
1755748800,2025-08-21,,,,,0,1123
1755835200,2025-08-22,,,,,0,1123
1755921600,2025-08-23,,,,,0,1123
1756008000,2025-08-24,,,,,0,1123
1756094400,2025-08-25,,,,,0,1123
1756180800,2025-08-26,,,,,0,1123
1756267200,2025-08-27,,,,,0,1123
1756353600,2025-08-28,,,,,0,1123
1756440000,2025-08-29,,,,,0,1123
1756526400,2025-08-30,,,,,0,1123
1756612800,2025-08-31,,,,,0,1123
1756699200,2025-09-01,,,,,0,1123
1756785600,2025-09-02,,,,,0,1123
1756872000,2025-09-03,,,,,0,1123
1756958400,2025-09-04,,,,,0,1123
1757044800,2025-09-05,,,,,0,1123
1757131200,2025-09-06,,,,,0,1123
1757217600,2025-09-07,,,,,0,1123
1757304000,2025-09-08,,,,,0,1123
1757390400,2025-09-09,,,,,0,1123
1757476800,2025-09-10,,,,,0,1123
1757563200,2025-09-11,,,,,0,1123
1757649600,2025-09-12,,,,,0,1123
1757736000,2025-09-13,,,,,0,1123
1757822400,2025-09-14,,,,,0,1123
1757908800,2025-09-15,,,,,0,1123
1757995200,2025-09-16,,,,,0,1123
1758081600,2025-09-17,,,,,0,1123
1758168000,2025-09-18,,,,,0,1123
1758254400,2025-09-19,77,77,75,75,387,1173
1758340800,2025-09-20,,,,,0,1173
1758427200,2025-09-21,,,,,0,1173
1758513600,2025-09-22,,,,,0,1173
1758600000,2025-09-23,,,,,0,1173
1758686400,2025-09-24,,,,,0,1173
1758772800,2025-09-25,,,,,0,1173
1758859200,2025-09-26,85,87,85,87,387,839
1758945600,2025-09-27,,,,,0,839
1759032000,2025-09-28,,,,,0,839
1759118400,2025-09-29,,,,,0,839
1759204800,2025-09-30,,,,,0,839
1759291200,2025-10-01,,,,,0,839
1759377600,2025-10-02,,,,,0,839
1759464000,2025-10-03,,,,,0,839
1759550400,2025-10-04,,,,,0,839
1759636800,2025-10-05,,,,,0,839
1759723200,2025-10-06,,,,,0,839
1759809600,2025-10-07,,,,,0,839
1759896000,2025-10-08,,,,,0,839
1759982400,2025-10-09,,,,,0,839
1760068800,2025-10-10,,,,,0,839
1760155200,2025-10-11,,,,,0,839
1760241600,2025-10-12,,,,,0,839
1760328000,2025-10-13,,,,,0,839
1760414400,2025-10-14,,,,,0,839
1760500800,2025-10-15,,,,,0,839
1760587200,2025-10-16,,,,,0,839
1760673600,2025-10-17,,,,,0,839
1760760000,2025-10-18,,,,,0,839
1760846400,2025-10-19,,,,,0,839
1760932800,2025-10-20,,,,,0,839
1761019200,2025-10-21,,,,,0,839
1761105600,2025-10-22,,,,,0,839
1761192000,2025-10-23,,,,,0,839
1761278400,2025-10-24,,,,,0,839
1761364800,2025-10-25,,,,,0,839
1761451200,2025-10-26,,,,,0,839
1761537600,2025-10-27,,,,,0,839
1761624000,2025-10-28,,,,,0,839
1761710400,2025-10-29,,,,,0,839
1761796800,2025-10-30,,,,,0,839
1761883200,2025-10-31,,,,,0,839
1761969600,2025-11-01,,,,,0,839
1762056000,2025-11-02,,,,,0,839
1762142400,2025-11-03,,,,,0,839
1762232400,2025-11-04,,,,,0,839
1762318800,2025-11-05,,,,,0,839
1762405200,2025-11-06,,,,,0,839
1762491600,2025-11-07,,,,,0,839
1762578000,2025-11-08,,,,,0,839
1762664400,2025-11-09,,,,,0,839
1762750800,2025-11-10,,,,,0,839
1762837200,2025-11-11,,,,,0,839
1762923600,2025-11-12,,,,,0,839
1763010000,2025-11-13,,,,,0,839
1763096400,2025-11-14,,,,,0,839
